categorie,nom_du_site,ville,lien,description,,en_vedette
💼 Emploi & Formation,DomTomJob,,https://www.domtomjob.com,"Offres d'emploi spécifiques aux DOM-TOM.,", valide,1
💼 Emploi & Formation,Seformer.re,,https://www.seformer.re/,Formations professionnelles à La Réunion., valide,1
💼 Emploi & Formation,Domemploi.com,,https://www.domemploi.com/,Catalogue d'emploi dans les DOM-TOM., valide ,1
💼 Emploi & Formation,France Travail Réunion,,https://www.francetravail.fr,Recherche d'emploi et services publics liés à l'insertion., valide,0
🎉 Culture & Loisirs,Randopitons.re,,https://randopitons.re/,Parcours de randonnées avec carte interactive., valide,1
🎉 Culture & Loisirs,Zébulo éditions,,https://www.zebuloeditions.com/,Vente de livres réunionnais, valide,1
🎉 Culture & Loisirs,Family Arena,Saint-Pierre, https://www.familyarena.re,"Centre de loisirs avec karaoké, VR, jeux, etc.", valide,1
🎉 Culture & Loisirs,Cinépalmes,Sainte-Marie,https://sainte-marie.cinepalmes.com/,"Consulter les films, horaires et réserver en ligne.", valide,1
🎉 Culture & Loisirs,Cinépalmes,Sainte-Denis, https://saint-denis.cinepalmes.com/#/,"Consulter les films, horaires et réserver en ligne.", valide,0
🍲 Nourriture, Restaurant le Caritologue,Saint-Pierre,https://www.lecaritologue.re/,Caris créoles au feu de bois., valide,1
🚌 Transport,Citalis,Saint-Denis,https://www.citalis.re/,Réseau de bus du nord (Saint-Denis)., valide,1
🚌 Transport,Car Jaune,,https://www.carjaune.re/,Réseau de bus interurbain (toute l'île)., valide,1
☁️ Météo & Alertes,Météo France Réunion,,https://www.meteofrance.re,"Météo locale, alertes cycloniques.", valide,1
☁️ Météo & Alertes,Webcams,,https://www.reunion.fr/organisez/webcams/,Webcams de l'île., valide.,1
📰 Actualités,Linfo.re,,https://www.linfo.re/,"Actualités locales.""",,1
🛒 Achats,Lapub.re,,https://lapub.re/,Publicités locales.,,1
